Street Name,House #,Zip Code,Visit 1 (11-18-22),% full,Plastic bags/wrap,Clamshell,Napkins/tissue,Black plastic/takeout,Food/Liquid,Foil/alum,Styro,SUPs,Other/Notes,Visit 2 (12-2-22),% full,Plastic bags/wrap,Clamshell,Napkins/tissue,Black plastic/takeout,Food/Liquid,Foil/alum,Styro,SUPs,Other/Notes,Visit 3 (12-9-22),% full,Plastic bags/wrap,Clamshell,Napkins/tissue,Black plastic/takeout,Food/Liquid,Foil/alum,Styro,SUPs,Other/Notes,Visit 4 (1-27-23),% full,Plastic bags/wrap,Clamshell,Napkins/tissue,Black plastic/takeout,Food/Liquid,Foil/alum,Styro,SUPs,Other/Notes
STRATFORD DR.,104,27516,O,50,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"wrappers, mailers",L,75,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"receipts, wrappers",L,25,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,receipt,O,50,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,plastic ring
STRATFORD DR.,105,27516,S,100,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,small plastic cover,L,75,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"plastic film, receipts",L,50,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,shredded paper,S,75,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,
STRATFORD DR.,106,27516,S,100,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,candy wrapper,S,75,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,N,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,O,50,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
STRATFORD DR.,107,27516,S,50,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,S,75,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,O,75,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,wrapping paper,N,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
STRATFORD DR.,108,27516,O,100,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,,O,50,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,bubble wrap,N,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,N,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
STRATFORD DR.,109,27516,N,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,N,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,N,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,N,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
STRATFORD DR.,110,27516,O,50,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,candle,L,25,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"plastic molding, liquid medicine cup",L,50,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,S,75,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,
STRATFORD DR.,111,27516,S,25,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,N,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,O,25,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"6-pack ring, bubble mailer",S,100,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,pump
STRATFORD DR.,112,27516,O,50,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"ice cream, chip bag",O,100,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,plastic lighting ring,O,100,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"recessed luminaire trim, rigid plastic",S,25,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
STRATFORD DR.,113,27516,S,25,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,S,25,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,S,25,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,S,25,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,pill bottle
